Heart_Rate,Acceleration,SpO2,Temperature,Predicted_Sleep_Stage
66,0.02,100,35.9,Deep Sleep
79,0.05,96,36.4,Light Sleep
84,0.17,98,36.4,REM
105,0.9,90,36.9,Sleep Disturbance
77,0.02,96,35.9,Deep Sleep
102,0.52,95,36.6,Awake
91,0.23,98,36.5,REM
85,0.18,97,36.3,REM
75,0.0,99,36.0,Deep Sleep
80,0.04,98,35.9,Deep Sleep
95,0.29,95,36.3,REM
78,0.28,95,36.4,REM
100,0.42,97,36.4,Awake
90,0.84,90,36.9,Sleep Disturbance
77,0.03,96,36.0,Deep Sleep
100,1.2,94,36.8,Sleep Disturbance
116,1.41,94,37.0,Sleep Disturbance
102,0.84,90,36.6,Sleep Disturbance
101,1.27,92,36.8,Sleep Disturbance
92,0.28,98,36.1,REM
64,0.02,99,36.2,Deep Sleep
83,0.12,99,36.4,REM
115,1.45,93,36.5,Sleep Disturbance
106,0.73,95,36.5,Awake
73,0.0,98,36.0,Deep Sleep
78,0.02,97,35.9,Deep Sleep
112,0.64,95,36.9,Sleep Disturbance
88,0.06,99,36.2,Light Sleep
95,0.65,91,36.7,Sleep Disturbance
106,0.8,94,36.7,Awake
94,0.25,99,36.5,REM
81,0.2,96,36.1,Light Sleep
92,0.47,96,36.6,Awake
104,0.7,95,36.6,Awake
89,0.16,96,36.4,Light Sleep
93,0.22,96,36.5,REM
101,0.92,95,36.4,Awake
102,1.47,93,36.7,Sleep Disturbance
104,0.83,93,36.6,Sleep Disturbance
78,0.24,99,36.3,REM
70,0.02,98,36.0,Deep Sleep
109,0.33,97,36.8,Awake
87,0.07,96,36.3,Light Sleep
100,0.8,97,36.5,Awake
75,0.18,99,36.2,REM
79,0.11,98,36.4,REM
109,0.6,94,36.8,Awake
120,0.97,94,37.0,Sleep Disturbance
78,0.1,99,36.4,REM
60,0.04,98,36.2,Deep Sleep
67,0.03,100,35.9,Deep Sleep
71,0.01,96,36.2,Deep Sleep
87,0.21,99,36.3,REM
89,0.15,98,36.2,Light Sleep
96,1.17,91,36.6,Sleep Disturbance
79,0.04,96,36.1,Deep Sleep
96,0.73,91,36.5,Sleep Disturbance
106,0.66,96,36.4,Awake
82,0.11,96,36.5,REM
82,0.23,98,36.1,REM
69,0.04,99,36.1,Deep Sleep
85,0.97,98,36.4,Awake
97,0.4,97,36.8,Awake
83,0.11,99,36.2,REM
96,0.6,91,36.6,Sleep Disturbance
93,0.42,94,36.5,Awake
81,0.15,98,36.0,Light Sleep
108,0.38,96,36.8,Awake
76,0.28,96,36.3,REM
90,1.35,91,37.0,Sleep Disturbance
80,0.0,98,36.1,Deep Sleep
86,0.26,95,36.4,REM
90,0.22,99,36.2,REM
83,0.16,95,36.2,Light Sleep
77,0.04,99,35.9,Deep Sleep
85,0.05,96,36.1,Light Sleep
107,0.69,97,36.6,Awake
72,0.03,100,35.8,Deep Sleep
90,0.93,95,36.5,Awake
119,0.54,94,36.8,Sleep Disturbance
89,0.97,96,36.8,Awake
95,0.16,96,36.5,REM
78,0.12,97,36.3,Light Sleep
106,0.97,98,36.6,Awake
60,0.0,98,35.8,Deep Sleep
75,0.15,96,36.3,REM
98,0.61,95,36.5,Sleep Disturbance
73,0.05,98,36.1,Deep Sleep
103,0.97,91,36.7,Sleep Disturbance
79,0.21,95,36.2,REM
77,0.17,97,36.1,Light Sleep
86,0.12,97,36.2,REM
64,0.02,99,36.1,Deep Sleep
115,0.79,92,36.5,Sleep Disturbance
85,0.09,98,36.3,Light Sleep
71,0.06,96,36.3,Light Sleep
77,0.15,95,36.2,Light Sleep
118,1.43,92,36.7,Sleep Disturbance
110,0.53,94,36.5,Awake
82,0.26,96,36.5,REM
88,0.43,95,36.8,Awake
117,1.42,95,36.9,Sleep Disturbance
71,0.03,99,35.9,Deep Sleep
116,1.26,93,36.9,Sleep Disturbance
77,0.07,96,36.0,Light Sleep
74,0.02,98,36.2,Deep Sleep
72,0.03,98,35.9,Deep Sleep
60,0.04,100,35.8,Deep Sleep
88,0.43,98,36.7,Awake
95,0.11,99,36.2,REM
73,0.05,95,36.1,Light Sleep
92,1.21,90,36.6,Sleep Disturbance
76,0.12,96,36.3,Light Sleep
79,0.12,96,36.1,Light Sleep
94,0.58,95,36.7,Awake
105,0.39,96,36.7,Awake
102,0.42,98,36.5,Awake
94,0.53,92,36.8,Sleep Disturbance
86,0.71,96,36.6,Awake
76,0.16,96,36.2,REM
118,0.71,92,36.9,Sleep Disturbance
85,0.09,95,36.2,Light Sleep
79,0.02,97,36.2,Deep Sleep
89,0.13,96,36.0,Light Sleep
87,0.96,97,36.7,Awake
79,0.0,97,35.8,Deep Sleep
94,0.16,97,36.3,REM
78,0.02,100,36.1,Deep Sleep
90,0.15,96,36.1,REM
110,0.87,94,36.7,Awake
113,1.49,95,36.6,Sleep Disturbance
102,0.95,92,36.5,Sleep Disturbance
90,0.19,97,36.4,Light Sleep
72,0.17,97,36.3,Light Sleep
101,0.65,98,36.5,Awake
110,1.1,94,36.5,Sleep Disturbance
79,0.12,95,36.2,Light Sleep
102,0.51,97,36.6,Awake
80,0.1,97,36.0,Light Sleep
66,0.04,99,35.8,Deep Sleep
81,0.18,99,36.1,REM
75,0.14,97,36.4,REM
117,0.78,91,36.9,Sleep Disturbance
93,0.94,95,36.7,Awake
82,0.08,96,36.2,Light Sleep
65,0.02,99,36.1,Deep Sleep
75,0.19,95,36.0,Light Sleep
76,0.03,98,36.2,Deep Sleep
79,0.02,100,36.1,Deep Sleep
67,0.02,97,36.1,Deep Sleep
80,0.02,98,36.2,Deep Sleep
88,0.19,98,36.1,REM
70,0.05,99,36.0,Deep Sleep
79,0.11,99,36.1,Light Sleep
105,0.94,97,36.6,Awake
81,0.13,97,36.3,Light Sleep
90,0.15,95,36.4,REM
71,0.01,100,35.8,Deep Sleep
105,0.7,97,36.7,Awake
81,0.21,95,36.4,REM
71,0.15,99,36.3,Light Sleep
99,0.91,97,36.6,Awake
66,0.01,100,36.2,Deep Sleep
63,0.01,98,35.9,Deep Sleep
60,0.01,97,36.0,Deep Sleep
71,0.05,99,36.2,Deep Sleep
115,1.31,91,36.8,Sleep Disturbance
96,0.94,91,36.7,Sleep Disturbance
76,0.02,99,36.0,Deep Sleep
79,0.11,99,36.1,Light Sleep
79,0.04,98,36.2,Deep Sleep
115,0.53,92,36.6,Sleep Disturbance
83,0.27,95,36.1,REM
102,0.65,93,36.6,Sleep Disturbance
110,0.94,95,36.5,Awake
63,0.04,100,36.2,Deep Sleep
98,1.43,93,36.8,Sleep Disturbance
88,0.19,98,36.4,REM
75,0.0,98,36.1,Deep Sleep
82,0.16,95,36.5,REM
77,0.14,95,36.1,Light Sleep
93,0.41,95,36.5,Awake
70,0.03,97,35.9,Deep Sleep
70,0.04,98,35.9,Deep Sleep
81,0.18,97,36.1,Light Sleep
105,1.04,95,36.9,Sleep Disturbance
77,0.03,98,35.8,Deep Sleep
93,0.15,95,36.1,REM
90,0.11,96,36.4,Light Sleep
107,1.02,93,37.0,Sleep Disturbance
100,0.72,98,36.5,Awake
85,0.2,96,36.3,REM
101,0.69,94,36.6,Awake
62,0.02,100,36.2,Deep Sleep
90,1.0,94,37.0,Sleep Disturbance
72,0.02,98,36.0,Deep Sleep
88,0.15,96,36.1,Light Sleep
65,0.04,99,35.9,Deep Sleep
103,0.57,95,36.6,Awake
62,0.01,96,36.1,Deep Sleep
75,0.18,95,36.2,Light Sleep
91,1.1,95,36.7,Sleep Disturbance
93,1.21,90,36.6,Sleep Disturbance
115,0.78,93,36.7,Sleep Disturbance
109,1.3,95,36.8,Sleep Disturbance
118,1.12,91,36.8,Sleep Disturbance
118,1.26,95,36.9,Sleep Disturbance
79,0.01,96,36.1,Deep Sleep
76,0.14,95,36.4,Light Sleep
89,0.25,98,36.5,REM
84,0.13,97,36.1,Light Sleep
108,0.45,97,36.5,Awake
86,0.29,97,36.2,REM
103,0.98,91,36.7,Sleep Disturbance
95,0.37,94,36.7,Awake
75,0.13,95,36.3,REM
88,0.25,98,36.4,REM
105,0.73,92,36.8,Sleep Disturbance
72,0.1,96,36.2,Light Sleep
75,0.01,97,36.1,Deep Sleep
90,1.5,90,36.6,Sleep Disturbance
119,1.17,94,36.6,Sleep Disturbance
80,0.04,96,36.1,Deep Sleep
86,0.11,98,36.2,Light Sleep
103,0.39,95,36.6,Awake
101,0.68,92,36.7,Sleep Disturbance
117,1.01,95,36.7,Sleep Disturbance
91,0.37,94,36.7,Awake
63,0.03,97,36.1,Deep Sleep
92,0.31,97,36.5,Awake
82,0.25,95,36.2,REM
78,0.1,96,36.4,Light Sleep
87,0.12,99,36.0,Light Sleep
90,0.17,98,36.3,Light Sleep
74,0.19,95,36.2,Light Sleep
81,0.2,95,36.2,Light Sleep
74,0.03,97,35.9,Deep Sleep
81,0.16,99,36.2,Light Sleep
108,0.88,98,36.6,Awake
91,1.17,92,37.0,Sleep Disturbance
61,0.01,99,36.1,Deep Sleep
76,0.14,95,36.3,Light Sleep
77,0.05,99,36.2,Deep Sleep
69,0.04,98,35.8,Deep Sleep
75,0.24,97,36.2,REM
93,1.13,92,36.6,Sleep Disturbance
90,1.42,95,37.0,Sleep Disturbance
101,0.6,97,36.6,Awake
63,0.04,100,35.9,Deep Sleep
61,0.0,98,36.1,Deep Sleep
86,0.14,98,36.3,REM
93,0.97,95,36.5,Sleep Disturbance
93,0.34,98,36.7,Awake
79,0.18,99,36.3,REM
73,0.04,97,35.8,Deep Sleep
111,0.81,95,36.9,Sleep Disturbance
112,0.82,90,36.9,Sleep Disturbance
72,0.02,96,35.9,Deep Sleep
87,0.25,95,36.3,REM
109,0.79,95,36.9,Sleep Disturbance
89,0.08,96,36.1,Light Sleep
81,0.12,95,36.1,REM
98,1.18,90,36.9,Sleep Disturbance
78,0.25,99,36.5,REM
78,0.19,97,36.2,Light Sleep
107,1.06,95,36.5,Sleep Disturbance
106,0.9,95,36.4,Awake
75,0.18,95,36.3,Light Sleep
60,0.02,97,36.0,Deep Sleep
75,0.02,96,36.0,Deep Sleep
69,0.02,100,36.1,Deep Sleep
87,0.14,98,36.1,Light Sleep
108,0.55,93,36.7,Sleep Disturbance
90,1.27,90,36.8,Sleep Disturbance
115,0.53,95,36.6,Sleep Disturbance
103,0.93,97,36.6,Awake
103,0.63,93,36.5,Sleep Disturbance
88,0.25,95,36.3,REM
92,0.13,95,36.5,REM
110,1.46,91,36.7,Sleep Disturbance
60,0.04,96,35.8,Deep Sleep
113,1.41,94,36.6,Sleep Disturbance
71,0.02,100,36.1,Deep Sleep
115,1.28,90,36.7,Sleep Disturbance
93,0.24,98,36.1,REM
102,0.52,93,36.6,Sleep Disturbance
82,0.09,99,36.0,Light Sleep
75,0.06,95,36.0,Light Sleep
96,0.7,93,36.6,Sleep Disturbance
108,1.08,91,36.7,Sleep Disturbance
99,0.71,93,36.8,Sleep Disturbance
99,0.84,98,36.6,Awake
94,0.25,96,36.4,REM
86,0.2,99,36.5,REM
72,0.1,97,36.3,Light Sleep
87,0.11,97,36.0,Light Sleep
101,1.02,90,37.0,Sleep Disturbance
106,0.72,98,36.6,Awake
73,0.18,98,36.1,Light Sleep
106,0.98,94,36.5,Awake
92,0.19,99,36.1,REM
87,0.14,96,36.1,Light Sleep
89,0.06,98,36.2,Light Sleep
90,0.12,98,36.3,REM
110,0.7,95,36.9,Sleep Disturbance
84,0.18,97,36.3,Light Sleep
86,0.2,95,36.3,REM
74,0.04,98,36.2,Deep Sleep
96,0.67,95,36.6,Awake
94,0.69,93,36.6,Sleep Disturbance
92,0.14,98,36.5,REM
86,0.16,99,36.0,Light Sleep
78,0.15,96,36.1,Light Sleep
73,0.0,100,36.0,Deep Sleep
70,0.0,98,35.8,Deep Sleep
91,0.34,95,36.5,Awake
86,0.13,97,36.2,Light Sleep
118,0.52,90,36.9,Sleep Disturbance
106,0.77,98,36.6,Awake
70,0.13,95,36.2,Light Sleep
82,0.24,96,36.2,REM
66,0.04,98,36.1,Deep Sleep
73,0.02,96,36.0,Deep Sleep
65,0.0,98,35.9,Deep Sleep
91,1.46,93,36.7,Sleep Disturbance
70,0.15,97,36.0,Light Sleep
86,0.2,96,36.4,Light Sleep
74,0.03,98,36.1,Deep Sleep
79,0.01,99,36.0,Deep Sleep
67,0.04,96,36.0,Deep Sleep
66,0.03,97,36.2,Deep Sleep
71,0.07,98,36.3,Light Sleep
88,0.11,96,36.1,REM
75,0.25,98,36.4,REM
84,0.11,95,36.3,REM
82,0.06,99,36.1,Light Sleep
71,0.14,95,36.1,Light Sleep
74,0.1,95,36.1,Light Sleep
76,0.04,96,36.0,Deep Sleep
80,0.1,97,36.5,REM
80,0.25,98,36.3,REM
76,0.21,96,36.2,REM
70,0.15,97,36.3,Light Sleep
94,1.01,91,36.7,Sleep Disturbance
93,0.71,92,36.8,Sleep Disturbance
117,1.15,94,36.8,Sleep Disturbance
87,0.11,98,36.3,REM
80,0.11,99,36.4,REM
79,0.04,98,36.0,Deep Sleep
81,0.16,96,36.2,Light Sleep
86,0.11,95,36.2,Light Sleep
70,0.09,98,36.2,Light Sleep
86,0.76,94,36.7,Awake
85,0.15,97,36.1,REM
98,1.0,96,36.7,Awake
86,0.08,98,36.4,Light Sleep
74,0.14,96,36.0,Light Sleep
111,1.07,94,36.6,Sleep Disturbance
78,0.03,96,35.9,Deep Sleep
95,0.26,98,36.4,REM
63,0.03,100,35.9,Deep Sleep
79,0.03,100,35.9,Deep Sleep
115,0.8,91,36.8,Sleep Disturbance
83,0.05,97,36.2,Light Sleep
79,0.03,96,36.1,Deep Sleep
83,0.25,95,36.2,REM
119,1.15,92,36.8,Sleep Disturbance
79,0.11,95,36.3,REM
72,0.04,98,36.0,Deep Sleep
91,0.12,96,36.4,REM
90,1.5,95,36.7,Sleep Disturbance
98,0.81,96,36.5,Awake
82,0.15,95,36.3,Light Sleep
66,0.02,100,36.0,Deep Sleep
97,1.29,94,36.6,Sleep Disturbance
94,0.29,96,36.3,REM
81,0.15,96,36.3,REM
91,1.24,90,36.6,Sleep Disturbance
62,0.02,97,36.1,Deep Sleep
97,0.98,92,36.9,Sleep Disturbance
61,0.05,99,36.0,Deep Sleep
71,0.04,98,36.1,Deep Sleep
103,0.83,97,36.5,Awake
77,0.22,96,36.5,REM
91,0.18,95,36.2,REM
99,0.98,96,36.8,Awake
104,0.92,95,36.8,Awake
64,0.02,98,36.1,Deep Sleep
83,0.11,97,36.3,Light Sleep
68,0.02,98,35.9,Deep Sleep
72,0.02,98,35.8,Deep Sleep
85,0.09,96,36.1,Light Sleep
79,0.22,97,36.5,REM
120,1.4,95,36.6,Sleep Disturbance
65,0.04,97,36.1,Deep Sleep
87,0.1,96,36.1,Light Sleep
70,0.03,100,35.9,Deep Sleep
72,0.06,96,36.1,Light Sleep
103,0.33,95,36.5,Awake
82,0.06,97,36.3,Light Sleep
102,0.53,91,36.7,Sleep Disturbance
90,0.17,98,36.4,REM
88,0.28,95,36.2,REM
76,0.23,95,36.1,REM
72,0.03,100,36.0,Deep Sleep
87,0.25,98,36.2,REM
96,1.18,90,36.8,Sleep Disturbance
81,0.08,96,36.3,Light Sleep
111,0.91,94,36.8,Sleep Disturbance
72,0.03,99,35.9,Deep Sleep
111,1.13,93,36.8,Sleep Disturbance
111,1.07,93,37.0,Sleep Disturbance
104,0.8,98,36.7,Awake
73,0.12,97,36.2,Light Sleep
117,1.44,93,36.9,Sleep Disturbance
63,0.04,96,35.8,Deep Sleep
81,0.15,96,36.2,Light Sleep
112,0.91,95,36.8,Sleep Disturbance
104,0.4,94,36.4,Awake
75,0.25,98,36.4,REM
81,0.28,97,36.2,REM
91,0.18,99,36.5,REM
96,0.54,98,36.4,Awake
84,0.23,99,36.2,REM
91,0.29,98,36.2,REM
86,0.19,97,36.1,Light Sleep
87,0.7,96,36.6,Awake
79,0.02,99,36.1,Deep Sleep
72,0.01,99,36.1,Deep Sleep
89,0.12,99,36.4,Light Sleep
105,0.3,95,36.4,Awake
97,0.79,95,36.7,Sleep Disturbance
95,0.12,99,36.2,REM
95,0.27,95,36.4,REM
78,0.02,99,36.1,Deep Sleep
108,0.92,92,36.7,Sleep Disturbance
90,0.61,98,36.7,Awake
80,0.03,99,36.0,Deep Sleep
77,0.25,98,36.3,REM
79,0.01,100,35.9,Deep Sleep
103,0.93,91,37.0,Sleep Disturbance
85,0.05,98,36.1,Light Sleep
98,1.43,90,36.9,Sleep Disturbance
71,0.0,100,35.9,Deep Sleep
95,0.96,97,36.5,Awake
93,1.29,94,36.8,Sleep Disturbance
70,0.05,98,35.9,Deep Sleep
81,0.07,98,36.2,Light Sleep
89,0.66,96,36.7,Awake
90,0.29,97,36.3,REM
114,1.11,93,36.5,Sleep Disturbance
85,0.17,96,36.3,Light Sleep
86,0.95,94,36.8,Awake
60,0.0,97,35.9,Deep Sleep
80,0.14,99,36.4,REM
93,0.2,98,36.2,REM
83,0.16,99,36.1,Light Sleep
68,0.01,97,36.0,Deep Sleep
86,0.2,99,36.1,REM
100,0.34,96,36.7,Awake
81,0.15,99,36.5,REM
91,0.13,96,36.5,REM
78,0.07,98,36.3,Light Sleep
74,0.05,97,36.1,Light Sleep
73,0.04,100,35.8,Deep Sleep
73,0.02,97,35.8,Deep Sleep
76,0.28,98,36.2,REM
112,1.06,94,36.6,Sleep Disturbance
66,0.01,98,36.1,Deep Sleep
93,0.31,98,36.5,Awake
62,0.02,96,36.2,Deep Sleep
89,0.25,95,36.2,REM
75,0.13,99,36.5,REM
104,0.98,91,36.8,Sleep Disturbance
108,0.39,98,36.7,Awake
82,0.28,97,36.5,REM
101,1.19,94,36.8,Sleep Disturbance
100,1.38,93,36.8,Sleep Disturbance
101,0.8,90,36.7,Sleep Disturbance
80,0.29,96,36.3,REM
65,0.01,99,36.1,Deep Sleep
61,0.03,96,35.9,Deep Sleep
85,0.62,94,36.7,Awake
81,0.05,96,36.4,Light Sleep
91,0.65,90,36.8,Sleep Disturbance
88,0.99,94,36.4,Awake
80,0.03,97,35.9,Deep Sleep
86,0.12,97,36.2,REM
99,0.9,95,36.6,Sleep Disturbance
94,0.16,99,36.2,REM
82,0.18,99,36.1,Light Sleep
100,0.4,98,36.4,Awake
78,0.13,95,36.0,Light Sleep
80,0.05,97,36.0,Deep Sleep
96,0.34,98,36.6,Awake
117,0.75,92,36.7,Sleep Disturbance
82,0.16,96,36.2,Light Sleep
76,0.0,98,36.1,Deep Sleep
86,0.12,95,36.1,REM
80,0.13,97,36.2,Light Sleep
89,0.25,98,36.1,REM
106,0.55,92,36.5,Sleep Disturbance
63,0.02,100,36.1,Deep Sleep
79,0.11,97,36.2,Light Sleep
72,0.08,96,36.0,Light Sleep
70,0.04,96,35.8,Deep Sleep
96,0.99,95,36.5,Awake
77,0.19,98,36.1,Light Sleep
114,1.02,91,36.8,Sleep Disturbance
89,0.48,94,36.5,Awake
76,0.13,98,36.4,REM
103,0.32,94,36.6,Awake
86,0.37,98,36.5,Awake
66,0.01,98,36.0,Deep Sleep
100,0.81,94,36.5,Awake
78,0.01,99,35.8,Deep Sleep
83,0.11,98,36.2,Light Sleep
92,0.88,96,36.8,Awake
88,0.13,98,36.4,Light Sleep
108,0.71,93,36.9,Sleep Disturbance
117,0.6,90,36.8,Sleep Disturbance
87,0.08,99,36.3,Light Sleep
82,0.28,99,36.5,REM
103,0.6,97,36.8,Awake
108,1.15,95,36.8,Sleep Disturbance
82,0.05,95,36.0,Light Sleep
112,1.07,90,36.9,Sleep Disturbance
95,1.29,92,36.5,Sleep Disturbance
114,1.01,92,36.5,Sleep Disturbance
94,0.18,97,36.2,REM
78,0.03,98,36.1,Deep Sleep
112,1.18,94,36.6,Sleep Disturbance
87,0.14,96,36.4,REM
90,0.2,97,36.4,REM
88,0.08,95,36.4,Light Sleep
77,0.03,96,36.2,Deep Sleep
99,0.44,94,36.6,Awake
95,0.24,96,36.1,REM
79,0.15,96,36.5,REM
71,0.13,95,36.1,Light Sleep
74,0.19,99,36.3,Light Sleep
88,0.11,96,36.0,Light Sleep
107,0.39,95,36.8,Awake
67,0.04,97,36.0,Deep Sleep
107,1.09,94,36.6,Sleep Disturbance
105,0.67,96,36.4,Awake
86,0.11,99,36.4,REM
106,0.81,94,36.5,Awake
100,0.47,97,36.5,Awake
64,0.04,98,35.9,Deep Sleep
87,0.17,95,36.0,Light Sleep
89,0.11,99,36.2,REM
103,0.92,90,36.8,Sleep Disturbance
77,0.08,96,36.2,Light Sleep
79,0.0,96,35.9,Deep Sleep
80,0.13,99,36.4,Light Sleep
80,0.19,99,36.4,REM
81,0.18,96,36.3,REM
94,0.29,96,36.2,REM
115,1.14,94,36.8,Sleep Disturbance
79,0.01,96,36.0,Deep Sleep
67,0.02,98,36.0,Deep Sleep
107,0.67,94,36.7,Sleep Disturbance
108,1.11,90,36.5,Sleep Disturbance
106,0.5,95,36.7,Awake
117,1.06,92,36.7,Sleep Disturbance
77,0.26,97,36.2,REM
62,0.04,100,35.8,Deep Sleep
103,0.64,95,36.6,Sleep Disturbance
64,0.03,100,36.0,Deep Sleep
92,0.97,90,36.6,Sleep Disturbance
92,0.75,96,36.5,Awake
91,0.88,94,36.6,Sleep Disturbance
68,0.01,99,35.9,Deep Sleep
100,1.01,93,36.7,Sleep Disturbance
80,0.17,99,36.4,REM
87,0.13,96,36.2,Light Sleep
97,0.51,96,36.6,Awake
94,0.98,94,36.9,Sleep Disturbance
88,0.9,98,36.7,Awake
85,0.19,97,36.0,Light Sleep
94,0.5,95,36.5,Awake
88,0.16,97,36.3,Light Sleep
103,0.98,95,36.5,Sleep Disturbance
74,0.07,99,36.1,Light Sleep
80,0.09,95,36.3,Light Sleep
60,0.03,98,36.0,Deep Sleep
71,0.14,96,36.2,Light Sleep
89,0.25,98,36.4,REM
114,0.59,91,37.0,Sleep Disturbance
108,1.33,94,36.9,Sleep Disturbance
88,0.26,95,36.5,REM
97,0.48,96,36.8,Awake
89,0.33,97,36.8,Awake
93,0.57,95,36.8,Sleep Disturbance
84,0.09,98,36.1,Light Sleep
90,0.61,90,36.8,Sleep Disturbance
92,0.97,95,36.7,Awake
74,0.06,96,36.2,Light Sleep
66,0.01,97,36.0,Deep Sleep
63,0.0,97,36.2,Deep Sleep
80,0.22,99,36.4,REM
79,0.03,100,36.1,Deep Sleep
60,0.0,100,36.0,Deep Sleep
108,0.45,97,36.5,Awake
108,0.72,95,36.6,Sleep Disturbance
78,0.27,97,36.4,REM
85,0.16,99,36.4,REM
88,0.25,99,36.1,REM
100,0.4,98,36.8,Awake
91,0.68,90,36.9,Sleep Disturbance
75,0.02,96,35.8,Deep Sleep
86,0.48,96,36.5,Awake
67,0.05,100,36.1,Deep Sleep
110,1.29,91,36.9,Sleep Disturbance
92,0.6,97,36.7,Awake
90,0.13,97,36.3,Light Sleep
88,0.24,95,36.2,REM
87,0.14,95,36.4,REM
77,0.1,97,36.3,Light Sleep
91,0.27,96,36.2,REM
85,0.2,98,36.3,Light Sleep
69,0.03,99,36.0,Deep Sleep
89,0.27,96,36.3,REM
112,1.37,92,36.9,Sleep Disturbance
91,0.26,95,36.2,REM
79,0.02,100,35.9,Deep Sleep
95,0.46,96,36.5,Awake
112,0.8,95,36.9,Sleep Disturbance
81,0.27,95,36.1,REM
115,1.41,95,36.6,Sleep Disturbance
104,0.56,94,36.7,Awake
73,0.01,99,36.2,Deep Sleep
87,0.23,99,36.5,REM
118,1.27,90,36.8,Sleep Disturbance
76,0.21,97,36.4,REM
101,1.17,91,36.8,Sleep Disturbance
78,0.21,95,36.4,REM
100,0.73,90,36.8,Sleep Disturbance
90,0.97,98,36.5,Awake
112,1.39,91,36.8,Sleep Disturbance
113,1.32,90,36.8,Sleep Disturbance
95,0.14,99,36.1,REM
111,0.63,92,36.7,Sleep Disturbance
71,0.04,98,36.0,Deep Sleep
73,0.18,95,36.3,Light Sleep
96,1.19,92,36.9,Sleep Disturbance
114,1.44,95,36.6,Sleep Disturbance
60,0.02,100,36.0,Deep Sleep
110,0.54,92,36.6,Sleep Disturbance
71,0.01,100,36.0,Deep Sleep
107,0.4,96,36.6,Awake
108,0.51,93,36.5,Sleep Disturbance
83,0.16,95,36.3,Light Sleep
71,0.0,97,36.1,Deep Sleep
106,0.99,97,36.5,Awake
118,1.11,94,36.7,Sleep Disturbance
110,0.64,95,36.5,Sleep Disturbance
82,0.12,95,36.3,Light Sleep
89,0.18,97,36.2,REM
104,0.42,96,36.8,Awake
106,0.95,95,36.7,Awake
73,0.0,96,35.9,Deep Sleep
92,0.29,96,36.3,REM
118,1.07,92,36.9,Sleep Disturbance
90,1.35,95,36.8,Sleep Disturbance
118,1.35,94,36.9,Sleep Disturbance
77,0.05,100,36.1,Deep Sleep
70,0.15,97,36.3,Light Sleep
69,0.04,98,35.9,Deep Sleep
83,0.07,98,36.4,Light Sleep
80,0.02,96,36.0,Deep Sleep
78,0.22,96,36.5,REM
79,0.28,99,36.2,REM
92,0.17,96,36.2,REM
87,0.08,98,36.2,Light Sleep
76,0.09,97,36.1,Light Sleep
77,0.17,97,36.3,REM
63,0.04,97,36.0,Deep Sleep
106,0.74,94,36.5,Sleep Disturbance
88,0.78,96,36.5,Awake
88,0.3,96,36.1,REM
116,1.46,91,36.6,Sleep Disturbance
78,0.08,95,36.3,Light Sleep
92,0.39,98,36.6,Awake
111,0.51,90,37.0,Sleep Disturbance
96,0.86,92,36.6,Sleep Disturbance
115,1.3,90,36.8,Sleep Disturbance
111,0.6,90,36.8,Sleep Disturbance
62,0.02,99,36.1,Deep Sleep
84,0.14,98,36.2,Light Sleep
88,0.1,96,36.3,Light Sleep
79,0.27,98,36.4,REM
84,0.13,96,36.3,Light Sleep
62,0.03,99,36.1,Deep Sleep
102,0.45,97,36.5,Awake
76,0.05,97,36.2,Deep Sleep
83,0.15,96,36.2,REM
75,0.3,95,36.3,REM
63,0.04,96,35.9,Deep Sleep
83,0.11,96,36.0,Light Sleep
73,0.02,97,36.1,Deep Sleep
106,0.56,94,36.7,Awake
94,0.21,97,36.2,REM
77,0.17,99,36.3,Light Sleep
110,0.64,95,36.6,Sleep Disturbance
81,0.13,98,36.2,REM
79,0.17,96,36.0,Light Sleep
88,0.11,97,36.2,Light Sleep
120,0.66,91,37.0,Sleep Disturbance
112,1.34,95,36.6,Sleep Disturbance
92,1.45,94,36.7,Sleep Disturbance
79,0.2,96,36.4,REM
108,0.78,94,36.6,Awake
83,0.15,98,36.1,REM
90,0.07,95,36.0,Light Sleep
94,0.52,96,36.7,Awake
84,0.27,99,36.2,REM
110,0.81,94,36.7,Awake
81,0.18,99,36.2,REM
91,0.27,99,36.2,REM
93,0.77,95,36.5,Awake
72,0.01,96,36.0,Deep Sleep
110,0.43,94,36.6,Awake
89,0.53,94,36.5,Awake
78,0.14,96,36.1,REM
77,0.02,100,36.0,Deep Sleep
84,0.09,97,36.2,Light Sleep
71,0.02,96,36.1,Deep Sleep
105,0.55,93,36.7,Sleep Disturbance
88,0.07,98,36.3,Light Sleep
85,0.18,96,36.2,Light Sleep
86,0.1,98,36.5,REM
82,0.13,97,36.2,REM
85,0.91,96,36.6,Awake
112,1.13,92,36.5,Sleep Disturbance
90,0.12,99,36.3,Light Sleep
97,0.62,94,36.4,Awake
99,0.88,95,36.8,Awake
93,0.7,98,36.4,Awake
116,1.49,95,36.9,Sleep Disturbance
70,0.17,97,36.3,Light Sleep
62,0.03,97,36.1,Deep Sleep
91,0.82,98,36.7,Awake
76,0.07,95,36.2,Light Sleep
74,0.02,99,35.9,Deep Sleep
106,1.27,93,36.7,Sleep Disturbance
89,0.63,98,36.5,Awake
111,1.17,93,36.9,Sleep Disturbance
97,0.83,90,36.6,Sleep Disturbance
100,0.94,95,36.6,Sleep Disturbance
87,0.19,96,36.5,REM
